SampleID,Sample_type,LinkID,Temp,Vol_air,Vol_water,Pressure
6ppm-5,Ignore,NA,NA,NA,NA,NA
ANDA1-WR1,NA,NA,NA,NA,NA,NA
ANDA1-WR2,NA,NA,NA,NA,NA,NA
ANDA1-WR3,NA,NA,NA,NA,NA,NA
ANDA1-AIR,NA,NA,NA,NA,NA,NA
ANDA2-WR1,NA,NA,NA,NA,NA,NA
ANDA2-WR2,NA,NA,NA,NA,NA,NA
ANDA2-WR3,NA,NA,NA,NA,NA,NA
ANDA2-AIR,NA,NA,NA,NA,NA,NA
ANDA3-WR1,NA,NA,NA,NA,NA,NA
ANDA3-WR2,NA,NA,NA,NA,NA,NA
ANDA3-WR3,NA,NA,NA,NA,NA,NA
ANDA3-AIR,NA,NA,NA,NA,NA,NA
6ppm-6,Ignore,NA,NA,NA,NA,NA
ANDA7-WR1,NA,NA,NA,NA,NA,NA
ANDA7-WR2,NA,NA,NA,NA,NA,NA
ANDA7-WR3,NA,NA,NA,NA,NA,NA
ANDA7-AIR,NA,NA,NA,NA,NA,NA
ANDA8-WR1,NA,NA,NA,NA,NA,NA
ANDA8-WR2,NA,NA,NA,NA,NA,NA
ANDA8-WR3,NA,NA,NA,NA,NA,NA
ANDA8-AIR,NA,NA,NA,NA,NA,NA
CAT2-WR1,NA,NA,NA,NA,NA,NA
CAT2-WR2,NA,NA,NA,NA,NA,NA
CAT2-WR3,NA,NA,NA,NA,NA,NA
CAT2-AIR,NA,NA,NA,NA,NA,NA
6ppm-7,Ignore,NA,NA,NA,NA,NA
CAT5-WR1,NA,NA,NA,NA,NA,NA
CAT5-WR2,NA,NA,NA,NA,NA,NA
CAT5-WR3,NA,NA,NA,NA,NA,NA
CAT5-AIR,NA,NA,NA,NA,NA,NA
CAT6-WR1,NA,NA,NA,NA,NA,NA
CAT6-WR2,NA,NA,NA,NA,NA,NA
CAT6-WR3,NA,NA,NA,NA,NA,NA
CAT6-AIR,NA,NA,NA,NA,NA,NA
CAT8-WR1,NA,NA,NA,NA,NA,NA
CAT8-WR2,NA,NA,NA,NA,NA,NA
CAT8-WR3,NA,NA,NA,NA,NA,NA
CAT8-AIR,NA,NA,NA,NA,NA,NA
CAT10-WR1,NA,NA,NA,NA,NA,NA
CAT10-WR2,NA,NA,NA,NA,NA,NA
CAT10-WR3,NA,NA,NA,NA,NA,NA
CAT10-AIR,NA,NA,NA,NA,NA,NA
6ppm-8,Ignore,NA,NA,NA,NA,NA
