date,Tstart,Tend,label,rawfile,Tstart_correct,Tend_correct,label_correct,firstlicor_TG10_or_TG20
16/10/2025,14:00:00,16:10:00,,TG10-01932-2025-10-16T060000.data,NA,NA,NA,NA
16/10/2025,14:00:49,14:02:58,loop-3_baseline,TG10-01932-2025-10-16T060000.data,NA,NA,NA,NA
16/10/2025,14:03:54,14:06:15,6ppm-5_1,TG10-01932-2025-10-16T060000.data,14:03:54,14:06:15,6ppm-5_1,TG10
16/10/2025,14:07:43,14:09:43,ANDA1-WR1_1,TG10-01932-2025-10-16T060000.data,14:07:43,14:09:43,ANDA1-WR1_1,TG10
16/10/2025,14:10:31,14:12:56,ANDA1-WR2_1,TG10-01932-2025-10-16T060000.data,14:10:31,14:12:56,ANDA1-WR2_1,TG10
16/10/2025,14:13:28,14:15:11,ANDA1-WR3_1,TG10-01932-2025-10-16T060000.data,14:13:28,14:15:11,ANDA1-WR3_1,TG10
16/10/2025,14:15:31,14:17:17,ANDA1-AIR_1,TG10-01932-2025-10-16T060000.data,14:15:31,14:17:17,ANDA1-AIR_1,TG10
16/10/2025,14:18:14,14:20:17,ANDA2-WR1_1,TG10-01932-2025-10-16T060000.data,14:18:14,14:20:17,ANDA2-WR1_1,TG10
16/10/2025,14:20:42,14:22:30,ANDA2-WR2_1,TG10-01932-2025-10-16T060000.data,14:20:42,14:22:30,ANDA2-WR2_1,TG10
16/10/2025,14:23:57,14:25:36,ANDA2-WR3_1,TG10-01932-2025-10-16T060000.data,14:23:57,14:25:36,ANDA2-WR3_1,TG10
16/10/2025,14:25:59,14:27:59,ANDA2-AIR_1,TG10-01932-2025-10-16T060000.data,14:25:59,14:27:59,ANDA2-AIR_1,TG10
16/10/2025,14:28:35,14:30:20,ANDA3-WR1_1,TG10-01932-2025-10-16T060000.data,14:28:35,14:30:20,ANDA3-WR1_1,TG10
16/10/2025,14:30:40,14:32:30,ANDA3-WR2_1,TG10-01932-2025-10-16T060000.data,14:30:40,14:32:30,ANDA3-WR2_1,TG10
16/10/2025,14:33:26,14:35:20,ANDA3-WR3_1,TG10-01932-2025-10-16T060000.data,14:33:26,14:35:20,ANDA3-WR3_1,TG10
16/10/2025,14:35:47,14:37:25,ANDA3-AIR_1,TG10-01932-2025-10-16T060000.data,14:35:47,14:37:25,ANDA3-AIR_1,TG10
16/10/2025,14:38:39,14:40:31,6ppm-6_1,TG10-01932-2025-10-16T060000.data,14:38:39,14:40:31,6ppm-6_1,TG10
16/10/2025,14:41:49,14:44:29,ANDA7-WR1_1,TG10-01932-2025-10-16T060000.data,14:41:49,14:44:29,ANDA7-WR1_1,TG10
16/10/2025,14:44:47,14:46:43,ANDA7-WR2_1,TG10-01932-2025-10-16T060000.data,14:44:47,14:46:43,ANDA7-WR2_1,TG10
16/10/2025,14:46:56,14:49:12,ANDA7-WR3_1,TG10-01932-2025-10-16T060000.data,14:46:56,14:49:12,ANDA7-WR3_1,TG10
16/10/2025,14:50:26,14:53:03,ANDA7-AIR_1,TG10-01932-2025-10-16T060000.data,14:50:26,14:53:03,ANDA7-AIR_1,TG10
16/10/2025,14:59:11,15:01:11,ANDA8-WR1_1,TG10-01932-2025-10-16T060000.data,14:59:11,15:01:11,ANDA8-WR1_1,TG10
16/10/2025,15:01:34,15:03:41,ANDA8-WR2_1,TG10-01932-2025-10-16T060000.data,15:01:34,15:03:41,ANDA8-WR2_1,TG10
16/10/2025,15:04:03,15:06:37,ANDA8-WR3_1,TG10-01932-2025-10-16T060000.data,15:04:03,15:06:37,ANDA8-WR3_1,TG10
16/10/2025,15:07:07,15:08:54,ANDA8-AIR_1,TG10-01932-2025-10-16T060000.data,15:07:07,15:08:54,ANDA8-AIR_1,TG10
16/10/2025,15:10:54,15:13:03,CAT2-WR1_1,TG10-01932-2025-10-16T060000.data,15:10:54,15:13:03,CAT2-WR1_1,TG10
16/10/2025,15:13:41,15:15:37,CAT2-WR2_1,TG10-01932-2025-10-16T060000.data,15:13:41,15:15:37,CAT2-WR2_1,TG10
16/10/2025,15:16:00,15:17:53,CAT2-WR3_1,TG10-01932-2025-10-16T060000.data,15:16:00,15:17:53,CAT2-WR3_1,TG10
16/10/2025,15:18:17,15:20:04,CAT2-AIR_1,TG10-01932-2025-10-16T060000.data,15:18:17,15:20:04,CAT2-AIR_1,TG10
16/10/2025,15:20:46,15:22:53,6ppm-7_1,TG10-01932-2025-10-16T060000.data,15:20:46,15:22:53,6ppm-7_1,TG10
16/10/2025,15:23:51,15:25:31,CAT5-WR1_1,TG10-01932-2025-10-16T060000.data,15:23:51,15:25:31,CAT5-WR1_1,TG10
16/10/2025,15:25:51,15:27:41,CAT5-WR2_1,TG10-01932-2025-10-16T060000.data,15:25:51,15:27:41,CAT5-WR2_1,TG10
16/10/2025,15:28:21,15:30:31,CAT5-WR3_1,TG10-01932-2025-10-16T060000.data,15:28:21,15:30:31,CAT5-WR3_1,TG10
16/10/2025,15:30:53,15:32:51,CAT5-AIR_1,TG10-01932-2025-10-16T060000.data,15:30:53,15:32:51,CAT5-AIR_1,TG10
16/10/2025,15:34:45,15:36:41,CAT6-WR1_1,TG10-01932-2025-10-16T060000.data,15:34:45,15:36:41,CAT6-WR1_1,TG10
16/10/2025,15:36:58,15:38:48,CAT6-WR2_1,TG10-01932-2025-10-16T060000.data,15:36:58,15:38:48,CAT6-WR2_1,TG10
16/10/2025,15:39:08,15:41:05,CAT6-WR3_1,TG10-01932-2025-10-16T060000.data,15:39:08,15:41:05,CAT6-WR3_1,TG10
16/10/2025,15:41:28,15:43:30,CAT6-AIR_1,TG10-01932-2025-10-16T060000.data,15:41:28,15:43:30,CAT6-AIR_1,TG10
16/10/2025,15:44:08,15:47:10,CAT8-WR1_1,TG10-01932-2025-10-16T060000.data,15:44:08,15:47:10,CAT8-WR1_1,TG10
16/10/2025,15:47:35,15:49:44,CAT8-WR2_1,TG10-01932-2025-10-16T060000.data,15:47:35,15:49:44,CAT8-WR2_1,TG10
16/10/2025,15:50:04,15:52:31,CAT8-WR3_1,TG10-01932-2025-10-16T060000.data,15:50:04,15:52:31,CAT8-WR3_1,TG10
16/10/2025,15:52:58,15:55:51,CAT8-AIR_1,TG10-01932-2025-10-16T060000.data,15:52:58,15:55:51,CAT8-AIR_1,TG10
16/10/2025,15:56:46,15:58:47,CAT10-WR1_1,TG10-01932-2025-10-16T060000.data,15:56:46,15:58:47,CAT10-WR1_1,TG10
16/10/2025,15:59:25,16:01:01,CAT10-WR2_1,TG10-01932-2025-10-16T060000.data,15:59:25,16:01:01,CAT10-WR2_1,TG10
16/10/2025,16:01:34,16:03:29,CAT10-WR3_1,TG10-01932-2025-10-16T060000.data,16:01:34,16:03:29,CAT10-WR3_1,TG10
16/10/2025,16:03:53,16:05:31,CAT10-AIR_1,TG10-01932-2025-10-16T060000.data,16:03:53,16:05:31,CAT10-AIR_1,TG10
16/10/2025,16:06:26,16:08:09,6ppm-8_1,TG10-01932-2025-10-16T060000.data,16:06:26,16:08:09,6ppm-8_1,TG10
