date,Tstart,Tend,label,rawfile,Tstart_correct,Tend_correct,label_correct,firstlicor_TG10_or_TG20
16/10/2025,14:00:00,16:10:00,,TG20-01377-2025-10-16T060000.data,NA,NA,NA,NA
16/10/2025,14:00:27,14:02:35,lab-3_baseline,TG20-01377-2025-10-16T060000.data,NA,NA,NA,NA
16/10/2025,14:03:26,14:05:47,6ppm-5_1,TG20-01377-2025-10-16T060000.data,14:03:26,14:05:47,6ppm-5_1,TG10
16/10/2025,14:07:15,14:09:48,ANDA1-WR1_1,TG20-01377-2025-10-16T060000.data,14:07:15,14:09:48,ANDA1-WR1_1,TG10
16/10/2025,14:10:03,14:12:23,ANDA1-WR2_1,TG20-01377-2025-10-16T060000.data,14:10:03,14:12:23,ANDA1-WR2_1,TG10
16/10/2025,14:12:59,14:14:49,ANDA1-WR3_1,TG20-01377-2025-10-16T060000.data,14:12:59,14:14:49,ANDA1-WR3_1,TG10
16/10/2025,14:15:03,14:17:00,ANDA1-AIR_1,TG20-01377-2025-10-16T060000.data,14:15:03,14:17:00,ANDA1-AIR_1,TG10
16/10/2025,14:17:40,14:19:49,ANDA2-WR1_1,TG20-01377-2025-10-16T060000.data,14:17:40,14:19:49,ANDA2-WR1_1,TG10
16/10/2025,14:20:13,14:22:09,ANDA2-WR2_1,TG20-01377-2025-10-16T060000.data,14:20:13,14:22:09,ANDA2-WR2_1,TG10
16/10/2025,14:23:29,14:25:16,ANDA2-WR3_1,TG20-01377-2025-10-16T060000.data,14:23:29,14:25:16,ANDA2-WR3_1,TG10
16/10/2025,14:25:31,14:27:31,ANDA2-AIR_1,TG20-01377-2025-10-16T060000.data,14:25:31,14:27:31,ANDA2-AIR_1,TG10
16/10/2025,14:28:07,14:29:59,ANDA3-WR1_1,TG20-01377-2025-10-16T060000.data,14:28:07,14:29:59,ANDA3-WR1_1,TG10
16/10/2025,14:30:12,14:32:09,ANDA3-WR2_1,TG20-01377-2025-10-16T060000.data,14:30:12,14:32:09,ANDA3-WR2_1,TG10
16/10/2025,14:32:58,14:34:59,ANDA3-WR3_1,TG20-01377-2025-10-16T060000.data,14:32:58,14:34:59,ANDA3-WR3_1,TG10
16/10/2025,14:35:19,14:37:31,ANDA3-AIR_1,TG20-01377-2025-10-16T060000.data,14:35:19,14:37:31,ANDA3-AIR_1,TG10
16/10/2025,14:38:11,14:40:10,6ppm-6_1,TG20-01377-2025-10-16T060000.data,14:38:11,14:40:10,6ppm-6_1,TG10
16/10/2025,14:41:21,14:44:02,ANDA7-WR1_1,TG20-01377-2025-10-16T060000.data,14:41:21,14:44:02,ANDA7-WR1_1,TG10
16/10/2025,14:44:14,14:46:19,ANDA7-WR2_1,TG20-01377-2025-10-16T060000.data,14:44:14,14:46:19,ANDA7-WR2_1,TG10
16/10/2025,14:46:28,14:48:44,ANDA7-WR3_1,TG20-01377-2025-10-16T060000.data,14:46:28,14:48:44,ANDA7-WR3_1,TG10
16/10/2025,14:49:57,14:52:43,ANDA7-AIR_1,TG20-01377-2025-10-16T060000.data,14:49:57,14:52:43,ANDA7-AIR_1,TG10
16/10/2025,14:58:43,15:00:48,ANDA8-WR1_1,TG20-01377-2025-10-16T060000.data,14:58:43,15:00:48,ANDA8-WR1_1,TG10
16/10/2025,15:01:05,15:03:13,ANDA8-WR2_1,TG20-01377-2025-10-16T060000.data,15:01:05,15:03:13,ANDA8-WR2_1,TG10
16/10/2025,15:03:34,15:06:09,ANDA8-WR3_1,TG20-01377-2025-10-16T060000.data,15:03:34,15:06:09,ANDA8-WR3_1,TG10
16/10/2025,15:06:39,15:08:26,ANDA8-AIR_1,TG20-01377-2025-10-16T060000.data,15:06:39,15:08:26,ANDA8-AIR_1,TG10
16/10/2025,15:10:26,15:12:35,CAT2-WR1_1,TG20-01377-2025-10-16T060000.data,15:10:26,15:12:35,CAT2-WR1_1,TG10
16/10/2025,15:13:13,15:15:12,CAT2-WR2_1,TG20-01377-2025-10-16T060000.data,15:13:13,15:15:12,CAT2-WR2_1,TG10
16/10/2025,15:15:32,15:17:26,CAT2-WR3_1,TG20-01377-2025-10-16T060000.data,15:15:32,15:17:26,CAT2-WR3_1,TG10
16/10/2025,15:17:49,15:19:36,CAT2-AIR_1,TG20-01377-2025-10-16T060000.data,15:17:49,15:19:36,CAT2-AIR_1,TG10
16/10/2025,15:20:18,15:22:24,6ppm-7_1,TG20-01377-2025-10-16T060000.data,15:20:18,15:22:24,6ppm-7_1,TG10
16/10/2025,15:23:23,15:25:07,CAT5-WR1_1,TG20-01377-2025-10-16T060000.data,15:23:23,15:25:07,CAT5-WR1_1,TG10
16/10/2025,15:25:23,15:27:17,CAT5-WR2_1,TG20-01377-2025-10-16T060000.data,15:25:23,15:27:17,CAT5-WR2_1,TG10
16/10/2025,15:27:53,15:30:03,CAT5-WR3_1,TG20-01377-2025-10-16T060000.data,15:27:53,15:30:03,CAT5-WR3_1,TG10
16/10/2025,15:30:25,15:32:22,CAT5-AIR_1,TG20-01377-2025-10-16T060000.data,15:30:25,15:32:22,CAT5-AIR_1,TG10
16/10/2025,15:34:17,15:36:14,CAT6-WR1_1,TG20-01377-2025-10-16T060000.data,15:34:17,15:36:14,CAT6-WR1_1,TG10
16/10/2025,15:36:30,15:38:23,CAT6-WR2_1,TG20-01377-2025-10-16T060000.data,15:36:30,15:38:23,CAT6-WR2_1,TG10
16/10/2025,15:38:40,15:40:37,CAT6-WR3_1,TG20-01377-2025-10-16T060000.data,15:38:40,15:40:37,CAT6-WR3_1,TG10
16/10/2025,15:40:54,15:43:02,CAT6-AIR_1,TG20-01377-2025-10-16T060000.data,15:40:54,15:43:02,CAT6-AIR_1,TG10
16/10/2025,15:43:39,15:46:43,CAT8-WR1_1,TG20-01377-2025-10-16T060000.data,15:43:39,15:46:43,CAT8-WR1_1,TG10
16/10/2025,15:47:07,15:49:17,CAT8-WR2_1,TG20-01377-2025-10-16T060000.data,15:47:07,15:49:17,CAT8-WR2_1,TG10
16/10/2025,15:49:36,15:52:03,CAT8-WR3_1,TG20-01377-2025-10-16T060000.data,15:49:36,15:52:03,CAT8-WR3_1,TG10
16/10/2025,15:52:29,15:55:22,CAT8-AIR_1,TG20-01377-2025-10-16T060000.data,15:52:29,15:55:22,CAT8-AIR_1,TG10
16/10/2025,15:56:17,15:58:30,CAT10-WR1_1,TG20-01377-2025-10-16T060000.data,15:56:17,15:58:30,CAT10-WR1_1,TG10
16/10/2025,15:58:57,16:00:47,CAT10-WR2_1,TG20-01377-2025-10-16T060000.data,15:58:57,16:00:47,CAT10-WR2_1,TG10
16/10/2025,16:01:06,16:03:01,CAT10-WR3_1,TG20-01377-2025-10-16T060000.data,16:01:06,16:03:01,CAT10-WR3_1,TG10
16/10/2025,16:03:24,16:05:33,CAT10-AIR_1,TG20-01377-2025-10-16T060000.data,16:03:24,16:05:33,CAT10-AIR_1,TG10
16/10/2025,16:05:57,16:07:43,6ppm-8_1,TG20-01377-2025-10-16T060000.data,16:05:57,16:07:43,6ppm-8_1,TG10
