Model:	LI-7810
SN:	TG10-01932
Software Version:	2.3.8
Timestamp:	2025-10-16 08:50:36
Timezone:	Etc/UTC
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1760623200	379770040	74269	0	""	2025-10-16	14:00:00	248.3606	23.421232	-22.894018	40.6652	55.001	29.0751	35.21	0.00069996	12.3366	54.4998	3	0.243707	23.9965	  6
DATA	1760623201	379770040	74273	0	""	2025-10-16	14:00:01	247.78252	23.731993	-23.076612	40.6652	55.001	29.0747	35.2098	0.000701443	12.3367	54.4998	-63.25	0.243707	23.9965	208
DATA	1760623202	379770040	74277	0	""	2025-10-16	14:00:02	246.65831	23.458624	-22.857471	40.6656	55.001	29.0751	35.2098	0.000700208	12.3365	54.4998	-35.25	0.243707	23.9961	208
DATA	1760623203	379486083	74281	0	""	2025-10-16	14:00:03	245.73872	23.070259	-22.999035	40.6656	55.001	29.0755	35.2098	0.00069663	12.3366	54.4998	-89.5	0.243707	23.9961	145
DATA	1760623204	379486083	74285	0	""	2025-10-16	14:00:04	245.53764	23.462589	-22.99622	40.6652	55.001	29.0727	35.2098	0.000702242	12.3368	54.4998	-22.5	0.243707	23.9961	124
DATA	1760623205	379486083	74289	0	""	2025-10-16	14:00:05	244.55618	23.366526	-22.979187	40.6652	55.001	29.0727	35.21	0.000700089	12.3376	54.4998	-58.5	0.243707	23.9961	 87
DATA	1760623206	379486083	74293	0	""	2025-10-16	14:00:06	243.67326	23.476622	-23.003328	40.6652	55.001	29.0739	35.21	0.00070356	12.3365	54.4998	-2.75	0.243707	23.9961	  3
DATA	1760623207	379486083	74297	0	""	2025-10-16	14:00:07	242.92191	23.342678	-22.911827	40.6652	55.001	29.0727	35.21	0.000698785	12.3366	54.4998	-30.5	0.243707	23.9961	 82
DATA	1760623208	379486083	74301	0	""	2025-10-16	14:00:08	242.45476	23.605955	-22.971931	40.6652	55.001	29.0714	35.2098	0.000702433	12.3369	54.4998	-5.25	0.243707	23.9946	170
DATA	1760623209	379486083	74305	0	""	2025-10-16	14:00:09	241.82053	23.19014	-22.966663	40.6656	55.001	29.0722	35.2098	0.000703651	12.3371	54.4998	15.75	0.243707	23.995	 65
DATA	1760623210	379486083	74309	0	""	2025-10-16	14:00:10	240.92233	23.129822	-22.869026	40.6648	55.001	29.0706	35.2098	0.000699828	12.3366	54.4998	11	0.243707	23.9942	 23
DATA	1760623211	379215002	74313	0	""	2025-10-16	14:00:11	240.12952	23.285376	-22.945852	40.6652	55.001	29.0714	35.2098	0.000700373	12.337	54.4998	39	0.243707	23.9942	195
DATA	1760623212	379215002	74317	0	""	2025-10-16	14:00:12	239.70493	23.433802	-23.012371	40.6648	55.001	29.0718	35.2098	0.000702347	12.3363	54.4998	0.25	0.243707	23.9938	 84
DATA	1760623213	379215002	74321	0	""	2025-10-16	14:00:13	238.82211	23.443632	-22.936604	40.6648	55.001	29.0722	35.2098	0.000702779	12.3365	54.4998	15.75	0.243707	23.9942	146
DATA	1760623214	379215002	74325	0	""	2025-10-16	14:00:14	238.88443	23.18033	-22.968281	40.6644	55.001	29.071	35.21	0.000703305	12.3369	54.4998	-16.75	0.243707	23.9942	241
DATA	1760623215	379215002	74329	0	""	2025-10-16	14:00:15	237.83195	23.299044	-23.003687	40.6652	55.001	29.071	35.2102	0.000697642	12.337	54.4998	59	0.243707	23.9946	166
DATA	1760623216	379215002	74333	0	""	2025-10-16	14:00:16	236.89334	23.37706	-22.874647	40.6648	55.001	29.0706	35.2102	0.00070258	12.3369	54.4998	-1.25	0.243707	23.9946	 52
DATA	1760623217	379215002	74337	0	""	2025-10-16	14:00:17	235.90056	23.413506	-22.995768	40.6652	55.001	29.071	35.2098	0.000704463	12.3372	54.4998	-17.75	0.243707	23.9965	163
DATA	1760623218	378952980	74341	0	""	2025-10-16	14:00:18	235.19859	23.544813	-22.962378	40.6652	55.001	29.0714	35.2098	0.000701485	12.337	54.4998	47	0.243707	23.9965	254
DATA	1760623219	378952980	74345	0	""	2025-10-16	14:00:19	234.85446	23.231264	-22.938267	40.6652	55.001	29.0718	35.2098	0.000699271	12.3369	54.4998	29.5	0.243707	23.9961	155
DATA	1760623220	378952980	74349	0	""	2025-10-16	14:00:20	233.75635	23.198444	-23.013933	40.6652	55.001	29.0727	35.2098	0.000706056	12.3371	54.4998	-43.25	0.243707	23.9965	216
DATA	1760623221	378952980	74353	0	""	2025-10-16	14:00:21	233.41187	23.003431	-22.921286	40.6648	55.001	29.071	35.2098	0.000706406	12.3369	54.4998	-22.25	0.243707	23.9961	145
DATA	1760623222	378952980	74357	0	""	2025-10-16	14:00:22	232.8217	23.581724	-22.987951	40.6652	55.001	29.0722	35.21	0.00070201	12.3368	54.4998	-4.25	0.243707	23.9961	206
DATA	1760623223	378952980	74361	0	""	2025-10-16	14:00:23	232.23116	23.472094	-22.9116	40.6652	55.001	29.0706	35.21	0.000701846	12.3364	54.4998	-49	0.243707	23.9958	103
DATA	1760623224	378952980	74365	0	""	2025-10-16	14:00:24	231.61397	23.045017	-22.973974	40.6648	55.001	29.0685	35.21	0.000701684	12.3369	54.4998	55.25	0.243707	23.9961	 85
DATA	1760623225	378952980	74369	0	""	2025-10-16	14:00:25	230.54359	22.996178	-22.965656	40.6648	55.001	29.0706	35.21	0.000700702	12.3369	54.4998	-37.5	0.243707	23.9942	 88
DATA	1760623226	378670930	74373	0	""	2025-10-16	14:00:26	230.69904	23.19038	-22.922132	40.6652	55.001	29.071	35.2098	0.000700596	12.3367	54.4998	-4.25	0.243707	23.9942	 54
DATA	1760623227	378670930	74377	0	""	2025-10-16	14:00:27	229.99474	23.41316	-23.00226	40.6648	55.001	29.0714	35.2098	0.000703599	12.3368	54.4998	-50.75	0.243707	23.9938	134
DATA	1760623228	378670930	74381	0	""	2025-10-16	14:00:28	229.03664	23.255203	-22.938318	40.666	55.001	29.0698	35.2098	0.000700654	12.3372	54.4998	29.5	0.243707	23.9938	 83
DATA	1760623229	378670930	74385	0	""	2025-10-16	14:00:29	228.53946	23.084745	-22.890646	40.6652	55.001	29.0714	35.2098	0.000698572	12.3369	54.4998	-48.25	0.243707	23.9942	  2
DATA	1760623230	378670930	74389	0	""	2025-10-16	14:00:30	227.87617	23.561344	-23.071674	40.666	55.001	29.0698	35.21	0.000702633	12.3368	54.4998	-23	0.243707	23.9942	168
DATA	1760623231	378670930	74393	0	""	2025-10-16	14:00:31	227.22989	22.945621	-22.988602	40.6648	55.001	29.0693	35.21	0.00070176	12.3374	54.4998	-24.5	0.243707	23.9942	 18
DATA	1760623232	378670930	74397	0	""	2025-10-16	14:00:32	225.80803	23.069351	-23.080854	40.6652	55.001	29.0689	35.21	0.000700381	12.3365	54.4998	33.5	0.243707	23.9946	  7
DATA	1760623233	378391027	74401	0	""	2025-10-16	14:00:33	225.03052	23.220118	-23.07807	40.6656	55.001	29.0698	35.2098	0.000703467	12.3369	54.4998	-1.25	0.243707	23.995	 39
DATA	1760623234	378391027	74405	0	""	2025-10-16	14:00:34	223.95863	23.178843	-23.059353	40.6648	55.001	29.0685	35.2098	0.000698231	12.3376	54.4998	-14.25	0.243707	23.9973	234
DATA	1760623235	378391027	74409	0	""	2025-10-16	14:00:35	222.53328	23.265739	-23.12919	40.6656	55.001	29.0685	35.2098	0.000699563	12.3373	54.4998	16.75	0.243707	23.9965	147
DATA	1760623236	378391027	74413	0	""	2025-10-16	14:00:36	221.3036	23.184225	-23.066757	40.666	55.001	29.0689	35.2098	0.000698261	12.3364	54.4998	-60	0.243707	23.9961	220
DATA	1760623237	378391027	74417	0	""	2025-10-16	14:00:37	220.3425	23.339586	-22.990614	40.6652	55.001	29.0698	35.2098	0.000699363	12.3368	54.4998	4.5	0.243707	23.9961	 41
DATA	1760623238	378391027	74421	0	""	2025-10-16	14:00:38	219.33334	23.269632	-23.076521	40.6656	55.001	29.0685	35.2098	0.000699062	12.3367	54.4998	-10	0.243707	23.9961	 69
DATA	1760623239	378391027	74425	0	""	2025-10-16	14:00:39	218.70164	23.236639	-23.130445	40.6652	55.001	29.0698	35.2098	0.000701056	12.337	54.4998	-6.25	0.243707	23.9965	116
DATA	1760623240	378391027	74429	0	""	2025-10-16	14:00:40	217.91847	23.062864	-23.05035	40.6652	55.001	29.0702	35.21	0.000701846	12.3369	54.4998	-67.75	0.243707	23.9965	 56
DATA	1760623241	378118991	74433	0	""	2025-10-16	14:00:41	217.14853	23.238794	-23.155167	40.6652	55.001	29.0681	35.21	0.000704591	12.3374	54.4998	31.5	0.243707	23.9958	 14
DATA	1760623242	378118991	74437	0	""	2025-10-16	14:00:42	216.98042	23.004593	-23.05538	40.6648	55.001	29.0685	35.2098	0.000703475	12.3367	54.4998	12.75	0.243707	23.9942	127
DATA	1760623243	378118991	74441	0	""	2025-10-16	14:00:43	216.30943	23.328058	-23.169222	40.664	55.001	29.0698	35.2098	0.000702209	12.3368	54.4998	-14.5	0.243707	23.9946	113
DATA	1760623244	378118991	74445	0	""	2025-10-16	14:00:44	215.67062	23.046736	-22.989466	40.6648	55.001	29.0677	35.2098	0.000699499	12.3364	54.4998	-9.25	0.243707	23.9942	216
DATA	1760623245	378118991	74449	0	""	2025-10-16	14:00:45	215.23471	23.148397	-23.065872	40.6656	55.001	29.0681	35.2098	0.00069721	12.3369	54.4998	14.75	0.243707	23.9946	149
DATA	1760623246	378118991	74453	0	""	2025-10-16	14:00:46	214.4489	23.114279	-23.036942	40.6648	55.001	29.0681	35.2098	0.000700713	12.3369	54.4998	-1	0.243707	23.9946	230
DATA	1760623247	378118991	74457	0	""	2025-10-16	14:00:47	214.04042	22.997438	-23.088095	40.6644	55.001	29.0673	35.2098	0.000697698	12.3367	54.4998	-8.5	0.243707	23.9942	158
DATA	1760623248	377854108	74461	0	""	2025-10-16	14:00:48	213.4628	22.80777	-23.067467	40.6656	55.001	29.0689	35.2098	0.000699954	12.3372	54.4998	-11.5	0.243707	23.9938	103
DATA	1760623249	377854108	74465	0	"loop-3_baseline"	2025-10-16	14:00:49	212.8046	23.065151	-23.030989	40.666	55.001	29.0665	35.21	0.00070359	12.3364	54.4998	9.75	0.243707	23.9946	 63
DATA	1760623250	377854108	74469	0	"loop-3_baseline"	2025-10-16	14:00:50	212.87398	23.219143	-23.040382	40.6648	55.001	29.066	35.2102	0.000700709	12.3369	54.4998	-11.25	0.243707	23.9942	 78
DATA	1760623251	377854108	74473	0	"loop-3_baseline"	2025-10-16	14:00:51	211.8978	23.480003	-23.069565	40.6652	55.001	29.0652	35.2098	0.000702286	12.3373	54.4998	-8	0.243707	23.9965	157
DATA	1760623252	377854108	74477	0	"loop-3_baseline"	2025-10-16	14:00:52	211.23592	23.229755	-23.128922	40.6644	55.001	29.066	35.2098	0.000703858	12.3372	54.4998	-3.25	0.243707	23.9965	 53
DATA	1760623253	377854108	74481	0	"loop-3_baseline"	2025-10-16	14:00:53	210.4704	23.312784	-23.115631	40.6652	55.001	29.066	35.2098	0.00070152	12.337	54.4998	46.25	0.243707	23.9961	130
DATA	1760623254	377854108	74485	0	"loop-3_baseline"	2025-10-16	14:00:54	210.34988	23.051107	-23.100372	40.6648	55.001	29.0677	35.2098	0.000700343	12.3372	54.4998	4.25	0.243707	23.9958	 43
DATA	1760623255	377854108	74489	0	"loop-3_baseline"	2025-10-16	14:00:55	209.98428	23.131454	-23.125448	40.6648	55.001	29.0673	35.2098	0.000698746	12.3371	54.4998	4	0.243707	23.9965	194
DATA	1760623256	377576112	74493	0	"loop-3_baseline"	2025-10-16	14:00:56	208.93532	23.316107	-23.096416	40.666	55.001	29.0677	35.2098	0.000702884	12.3374	54.4998	-38.5	0.243707	23.9965	 64
DATA	1760623257	377576112	74497	0	"loop-3_baseline"	2025-10-16	14:00:57	208.77594	23.007372	-23.074392	40.6652	55.001	29.0677	35.2102	0.00070554	12.3373	54.4998	-26.25	0.243707	23.9958	107
DATA	1760623258	377576112	74501	0	"loop-3_baseline"	2025-10-16	14:00:58	207.99208	23.171532	-23.089357	40.6648	55.001	29.0665	35.21	0.000699391	12.3365	54.4998	-57.25	0.243707	23.9961	 64
DATA	1760623259	377576112	74505	0	"loop-3_baseline"	2025-10-16	14:00:59	208.42885	23.168171	-23.164364	40.6648	55.001	29.0673	35.2098	0.000700978	12.3367	54.4998	-42.5	0.243707	23.995	 68
DATA	1760623260	377576112	74509	0	"loop-3_baseline"	2025-10-16	14:01:00	207.16963	23.026155	-23.1374	40.6648	55.001	29.0652	35.2098	0.000701656	12.3367	54.4998	-42.5	0.243707	23.9942	234
DATA	1760623261	377576112	74513	0	"loop-3_baseline"	2025-10-16	14:01:01	207.04375	23.097092	-23.120516	40.6656	55.001	29.0648	35.2098	0.000700246	12.3368	54.4998	36.75	0.243707	23.9942	 85
DATA	1760623262	377576112	74517	0	"loop-3_baseline"	2025-10-16	14:01:02	206.82973	23.03451	-22.985161	40.6648	55.001	29.0652	35.2098	0.000702463	12.3368	54.4998	25.75	0.243707	23.9938	 54
DATA	1760623263	377295017	74521	0	"loop-3_baseline"	2025-10-16	14:01:03	206.13205	22.939871	-23.207972	40.6656	55.001	29.0644	35.2098	0.000702642	12.337	54.4998	53.25	0.243707	23.9942	 39
DATA	1760623264	377295017	74525	0	"loop-3_baseline"	2025-10-16	14:01:04	205.34399	23.265467	-23.088926	40.6656	55.001	29.0644	35.2098	0.000694511	12.3367	54.4998	-11	0.243707	23.9942	 10
DATA	1760623265	377295017	74529	0	"loop-3_baseline"	2025-10-16	14:01:05	204.79671	23.132221	-23.106411	40.6648	55.001	29.0648	35.21	0.00070322	12.3368	54.4998	-17.5	0.243707	23.9946	177
DATA	1760623266	377295017	74533	0	"loop-3_baseline"	2025-10-16	14:01:06	204.43713	23.10465	-23.144747	40.6652	55.001	29.0648	35.2102	0.000696572	12.3368	54.4998	27	0.243707	23.9946	152
DATA	1760623267	377295017	74537	0	"loop-3_baseline"	2025-10-16	14:01:07	204.07854	23.044941	-23.037634	40.6652	55.001	29.0648	35.21	0.000698368	12.3366	54.4998	20.5	0.243707	23.995	158
DATA	1760623268	377295017	74541	0	"loop-3_baseline"	2025-10-16	14:01:08	203.97707	23.089132	-23.073341	40.6652	55.001	29.0644	35.2098	0.000699606	12.3371	54.4998	-1.25	0.243707	23.9965	100
DATA	1760623269	377295017	74545	0	"loop-3_baseline"	2025-10-16	14:01:09	203.42583	23.126432	-23.042377	40.6656	55.001	29.0648	35.2098	0.000698227	12.3371	54.4998	-2.25	0.243707	23.9961	101
DATA	1760623270	377295017	74549	0	"loop-3_baseline"	2025-10-16	14:01:10	202.9239	22.922613	-23.159018	40.6644	55.001	29.0652	35.2098	0.000701021	12.3368	54.4998	13.25	0.243707	23.9965	 30
DATA	1760623271	377022981	74553	0	"loop-3_baseline"	2025-10-16	14:01:11	202.24939	23.31691	-23.044155	40.6644	55.001	29.0631	35.2098	0.000699367	12.3371	54.4998	3.75	0.243707	23.9965	254
DATA	1760623272	377022981	74557	0	"loop-3_baseline"	2025-10-16	14:01:12	202.13477	22.886848	-23.123459	40.6652	55.001	29.0652	35.2098	0.000700076	12.3372	54.4998	-61.75	0.243707	23.9965	153
DATA	1760623273	377022981	74561	0	"loop-3_baseline"	2025-10-16	14:01:13	201.28157	23.318392	-23.084055	40.6648	55.001	29.0631	35.2102	0.000694971	12.3368	54.4998	75.25	0.243707	23.9958	 99
DATA	1760623274	377022981	74565	0	"loop-3_baseline"	2025-10-16	14:01:14	201.16644	23.025232	-23.091637	40.6648	55.001	29.0631	35.2102	0.000700993	12.3371	54.4998	31.5	0.243707	23.9961	 17
