Model:	LI-7820
SN:	TG20-01377
Software Version:	2.3.8
Timestamp:	2025-10-16 08:50:41
Timezone:	Etc/UTC
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1760623200	417415142	185612	0	""	2025-10-16	14:00:00	323.44955	1.7628651	39.6483	55.001	28.0272	39.7714	0.0005405	37.6737	54.5005	17.2	0.0446561	24.2118	 76
DATA	1760623201	417415142	185622	0	""	2025-10-16	14:00:01	322.51871	1.7378546	39.6499	55.001	28.029	39.7714	0.000539836	37.6704	54.5005	-42.4	0.0446561	24.2116	190
DATA	1760623202	417415142	185632	0	""	2025-10-16	14:00:02	321.48102	1.7862753	39.649	55.001	28.0267	39.7714	0.000540055	37.6731	54.5005	-36.7	0.0446561	24.2119	172
DATA	1760623203	417303085	185642	0	""	2025-10-16	14:00:03	320.58398	1.7218487	39.6491	55.001	28.026	39.7714	0.000541513	37.6742	54.5005	-6.3	0.0446561	24.2119	134
DATA	1760623204	417303085	185652	0	""	2025-10-16	14:00:04	319.30603	1.871101	39.6496	55.001	28.0268	39.7714	0.000540573	37.6748	54.5005	12.4	0.0446561	24.2119	130
DATA	1760623205	417303085	185662	0	""	2025-10-16	14:00:05	318.76666	1.7132488	39.6498	55.001	28.0275	39.7714	0.000540397	37.6711	54.5005	-30	0.0446561	24.2119	155
DATA	1760623206	417191028	185672	0	""	2025-10-16	14:00:06	317.74911	1.6509171	39.6488	55.001	28.0254	39.7714	0.000540029	37.6723	54.5005	1.5	0.0446561	24.2118	140
DATA	1760623207	417191028	185682	0	""	2025-10-16	14:00:07	316.55069	1.7776428	39.6493	55.001	28.0263	39.7714	0.000540531	37.6728	54.5005	-28.8	0.0446561	24.2119	  6
DATA	1760623208	417191028	185692	0	""	2025-10-16	14:00:08	315.68079	1.6195625	39.6488	55.001	28.0262	39.7714	0.000539805	37.675	54.5005	15	0.0446561	24.2116	 70
DATA	1760623209	417076110	185702	0	""	2025-10-16	14:00:09	314.31033	1.7442164	39.6494	55.001	28.0255	39.7714	0.000541009	37.674	54.5005	1.2	0.0446561	24.2121	 57
DATA	1760623210	417076110	185712	0	""	2025-10-16	14:00:10	313.31894	1.7207946	39.6499	55.001	28.0252	39.7714	0.000541054	37.6741	54.5005	-23.5	0.0446561	24.2126	219
DATA	1760623211	417076110	185722	0	""	2025-10-16	14:00:11	311.98315	1.7417843	39.6493	55.001	28.0247	39.7714	0.000540291	37.6755	54.5005	6.6	0.0446561	24.2118	135
DATA	1760623212	416964054	185732	0	""	2025-10-16	14:00:12	310.8067	1.663937	39.6493	55.001	28.0255	39.7714	0.000541434	37.6743	54.5005	-4.8	0.0446561	24.2121	 83
