Model:	LI-7810
SN:	TG10-01932
Software Version:	2.3.8
Timestamp:	2024-12-12 12:00:59
Timezone:	Etc/UTC
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1734004859	145442962	19238	16	""	2024-12-12	12:00:59	11712.313	1037.0072	2805.4094	39.5887	55.001	25.5179	35.1391	0.00201517	12.2718	54.5005	-21	0.172303	23.7223	228
DATA	1734004860	145442962	19242	16	""	2024-12-12	12:01:00	11720.09	1044.5795	2805.6497	39.5887	55.001	25.515	35.1391	0.00201571	12.2721	54.5005	11.5	0.172303	23.7219	172
DATA	1734004861	145442962	19246	16	""	2024-12-12	12:01:01	11725.044	1042.2811	2805.8257	39.5895	55.001	25.515	35.1391	0.00201595	12.2719	54.5005	27.75	0.172303	23.7223	 23
DATA	1734004862	145442962	19250	16	""	2024-12-12	12:01:02	11723.289	1043.4266	2805.7703	39.5891	55.001	25.5158	35.1391	0.00202143	12.2718	54.5005	58.5	0.172303	23.7223	 21
DATA	1734004863	145442962	19254	16	""	2024-12-12	12:01:03	11774.354	1085.4373	2806.3743	39.5887	55.001	25.5179	35.1391	0.00202341	12.2713	54.5005	18	0.172303	23.7219	193
DATA	1734004864	145442962	19258	16	""	2024-12-12	12:01:04	11799.629	1093.4167	2806.8579	39.5895	55.001	25.5174	35.1391	0.0020237	12.2709	54.5005	-71.5	0.172303	23.7223	 58
DATA	1734004865	145442962	19262	16	""	2024-12-12	12:01:05	11804.74	1098.4703	2806.7944	39.5895	55.001	25.5179	35.1391	0.00203344	12.2707	54.5005	-25.75	0.172303	23.7227	 95
DATA	1734004866	145442962	19266	16	""	2024-12-12	12:01:06	11806.912	1100.1884	2806.377	39.5891	55.001	25.517	35.1391	0.00203619	12.2709	54.5005	-55	0.172303	23.7219	140
DATA	1734004867	145174026	19270	16	""	2024-12-12	12:01:07	11798.718	1088.1862	2806.396	39.5895	55.001	25.5158	35.1391	0.00203649	12.271	54.5005	-27.5	0.172303	23.7231	253
DATA	1734004868	145174026	19274	16	""	2024-12-12	12:01:08	11772.59	1058.736	2806.1172	39.5895	55.001	25.5145	35.1391	0.00202812	12.2712	54.5005	-33.75	0.172303	23.7231	 23
DATA	1734004869	145174026	19278	16	""	2024-12-12	12:01:09	11719.777	1017.3991	2805.6055	39.5891	55.001	25.5141	35.1391	0.00203277	12.2713	54.5005	-16.5	0.172303	23.7219	 89
DATA	1734004870	145174026	19282	16	""	2024-12-12	12:01:10	11702.987	1008.205	2805.6902	39.5895	55.001	25.5129	35.1391	0.00202509	12.2711	54.5005	16	0.172303	23.7223	113
DATA	1734004871	145174026	19286	16	""	2024-12-12	12:01:11	11685.579	997.38141	2805.7356	39.5891	55.001	25.5133	35.1391	0.00201578	12.2719	54.5005	-28.5	0.172303	23.7219	104
