"dayofanalysis","sample","ml_injected","peak_id","CO2_ppm","CH4_ppm","unixtime_ofmax","datetime"
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_1",-162.247284498526,15.7378019986484,1734011240,2024-12-12 14:47:20
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_2",-162.728457037266,15.2451694113948,1734011304,2024-12-12 14:48:24
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_3",-163.066968813147,14.8985953271692,1734011355,2024-12-12 14:49:15
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_4",-164.264612324839,13.672427634147,1734011412,2024-12-12 14:50:12
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_5",-164.273114027101,13.6637234475108,1734011486,2024-12-12 14:51:26
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_1",-75.1222702674834,14.0132071856195,1734011666,2024-12-12 14:54:26
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_2",-74.0806919048587,15.0795927381926,1734011720,2024-12-12 14:55:20
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_3",-74.3430772231754,14.8109582093847,1734011760,2024-12-12 14:56:00
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_4",-75.1216191539402,14.0138738066827,1734011806,2024-12-12 14:56:46
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_5",-75.3144136126254,13.8164875775372,1734011849,2024-12-12 14:57:29
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_1",-46.2068935119297,13.3090396432887,1734012017,2024-12-12 15:00:17
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_2",-44.6820745758443,14.8701750720564,1734012084,2024-12-12 15:01:24
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_3",-44.6779936401295,14.8743532030961,1734012134,2024-12-12 15:02:14
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_4",-44.3899702143363,15.16923646017,1734012184,2024-12-12 15:03:04
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_5",-44.9122386764867,14.6345291711301,1734012228,2024-12-12 15:03:48
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_1",-176.144835348467,1.50925427307795,1734020034,2024-12-12 17:13:54
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_2",-176.812373427127,0.825817492496566,1734020113,2024-12-12 17:15:13
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_3",-176.995433694822,0.638397292803034,1734020136,2024-12-12 17:15:36
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_4",-176.946868416782,0.688119246250204,1734020199,2024-12-12 17:16:39
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_5",-177.0063033167,0.627268789995792,1734020249,2024-12-12 17:17:29
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_1",-88.0747496840699,0.752239585407913,1734020425,2024-12-12 17:20:25
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_2",-88.0569840453134,0.770428346985454,1734020499,2024-12-12 17:21:39
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_3",-88.0987037628069,0.727714994261476,1734020532,2024-12-12 17:22:12
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_4",-88.1171370439459,0.708842689115292,1734020562,2024-12-12 17:22:42
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_5",-88.1103477027458,0.715793731520796,1734020602,2024-12-12 17:23:22
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_1",-58.434647303482,0.790058401327081,1734020769,2024-12-12 17:26:09
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_2",-58.4735711158494,0.75020754358164,1734020802,2024-12-12 17:26:42
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_3",-58.4790952060413,0.744551886568128,1734020837,2024-12-12 17:27:17
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_4",-58.4754532116936,0.748280622008782,1734020871,2024-12-12 17:27:51
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_5",-58.4785393759681,0.745120954802399,1734020900,2024-12-12 17:28:20
