"dayofanalysis","sample","ml_injected","peak_id","N2O_ppm","unixtime_ofmax","datetime"
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_1",6.29819549477539,1734011246,2024-12-12 14:47:26
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_2",6.15086253137644,1734011311,2024-12-12 14:48:31
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_3",6.03351734042379,1734011361,2024-12-12 14:49:21
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_4",5.53176290403436,1734011418,2024-12-12 14:50:18
"2024-12-12","CalBottle",0.2,"CalBottle_0.2ml_5",5.5134301125222,1734011493,2024-12-12 14:51:33
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_1",5.67568744008517,1734011672,2024-12-12 14:54:32
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_2",6.10830636584837,1734011726,2024-12-12 14:55:26
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_3",5.9831618160083,1734011766,2024-12-12 14:56:06
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_4",5.674084967057,1734011812,2024-12-12 14:56:52
"2024-12-12","CalBottle",0.4,"CalBottle_0.4ml_5",5.54766272877791,1734011856,2024-12-12 14:57:36
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_1",5.2972291471103,1734012023,2024-12-12 15:00:23
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_2",5.97676308290746,1734012090,2024-12-12 15:01:30
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_3",6.02730321605049,1734012141,2024-12-12 15:02:21
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_4",6.11203510312488,1734012190,2024-12-12 15:03:10
"2024-12-12","CalBottle",0.6,"CalBottle_0.6ml_5",5.87256286681438,1734012235,2024-12-12 15:03:55
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_1",0.629957963548294,1734020041,2024-12-12 17:14:01
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_2",0.340979777639961,1734020120,2024-12-12 17:15:20
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_3",0.2830124584876,1734020143,2024-12-12 17:15:43
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_4",0.259315671586621,1734020205,2024-12-12 17:16:45
"2024-12-12","Calbaja",0.2,"Calbaja_0.2ml_5",0.224655743660842,1734020255,2024-12-12 17:17:35
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_1",0.298265961393226,1734020431,2024-12-12 17:20:31
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_2",0.269327506707561,1734020505,2024-12-12 17:21:45
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_3",0.274622119580734,1734020538,2024-12-12 17:22:18
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_4",0.277589363947517,1734020569,2024-12-12 17:22:49
"2024-12-12","Calbaja",0.4,"Calbaja_0.4ml_5",0.270276057510866,1734020609,2024-12-12 17:23:29
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_1",0.302113018744475,1734020775,2024-12-12 17:26:15
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_2",0.294688026174747,1734020809,2024-12-12 17:26:49
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_3",0.295542004212225,1734020843,2024-12-12 17:27:23
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_4",0.289269366052508,1734020878,2024-12-12 17:27:58
"2024-12-12","Calbaja",0.6,"Calbaja_0.6ml_5",0.284611768522537,1734020907,2024-12-12 17:28:27
"2024-12-12","Calbaja",0.8,"Calbaja_0.8ml_1",0.328446678602196,1734021004,2024-12-12 17:30:04
"2024-12-12","Calbaja",0.8,"Calbaja_0.8ml_2",0.326221975756527,1734021038,2024-12-12 17:30:38
"2024-12-12","Calbaja",0.8,"Calbaja_0.8ml_3",0.312833467884561,1734021073,2024-12-12 17:31:13
"2024-12-12","Calbaja",0.8,"Calbaja_0.8ml_4",0.320974602552977,1734021115,2024-12-12 17:31:55
"2024-12-12","Calbaja",0.8,"Calbaja_0.8ml_5",0.321839264248751,1734021147,2024-12-12 17:32:27
