"label","peak_id","peaksum","peakmax","unixtime_ofmax","raw_peaksum","dayofanalysis","peakSNR"
"CalBottle_0.2ml","CalBottle_0.2ml_1",265.188372515874,176.70775269862,1734011246,231.2082588,"2024-12-12",663.232114375467
"CalBottle_0.2ml","CalBottle_0.2ml_2",259.136990509163,174.582633021355,1734011311,224.855848216,"2024-12-12",648.097699374053
"CalBottle_0.2ml","CalBottle_0.2ml_3",254.317291232619,176.162157078473,1734011361,219.8576603,"2024-12-12",636.043704278003
"CalBottle_0.2ml","CalBottle_0.2ml_4",233.708815721726,161.600561698023,1734011418,198.9539256,"2024-12-12",584.502218286469
"CalBottle_0.2ml","CalBottle_0.2ml_5",232.955836061709,156.312733075347,1734011493,197.83120833,"2024-12-12",582.619027529433
"CalBottle_0.4ml","CalBottle_0.4ml_1",472.736758864841,243.368899383621,1734011672,439.63092548,"2024-12-12",831.851788485696
"CalBottle_0.4ml","CalBottle_0.4ml_2",508.274527504399,307.311548747974,1734011726,474.61789595,"2024-12-12",894.38586447461
"CalBottle_0.4ml","CalBottle_0.4ml_3",497.99444544171,260.236229608516,1734011766,464.15596791,"2024-12-12",876.296506096467
"CalBottle_0.4ml","CalBottle_0.4ml_4",472.605122654923,311.227729056042,1734011812,438.5348464,"2024-12-12",831.620154675553
"CalBottle_0.4ml","CalBottle_0.4ml_5",462.220084027841,302.533188920823,1734011856,427.881518247,"2024-12-12",813.3461093566
"CalBottle_0.6ml","CalBottle_0.6ml_1",659.220252467387,324.234904133516,1734012023,625.3174374,"2024-12-12",912.493770376872
"CalBottle_0.6ml","CalBottle_0.6ml_2",742.951401366452,411.989081568908,1734012090,710.26268669,"2024-12-12",1028.39456600765
"CalBottle_0.6ml","CalBottle_0.6ml_3",749.178880511571,435.874470344151,1734012141,717.2447116,"2024-12-12",1037.01465300256
"CalBottle_0.6ml","CalBottle_0.6ml_4",759.619416118967,481.216123029922,1734012190,728.022244116,"2024-12-12",1051.46645976288
"CalBottle_0.6ml","CalBottle_0.6ml_5",730.112007556385,455.235646410906,1734012235,698.27526518,"2024-12-12",1010.62225573161
"Calbaja_0.2ml","Calbaja_0.2ml_1",32.3778064692692,14.8420106394375,1734020041,1.07015927,"2024-12-12",89.1410802800732
"Calbaja_0.2ml","Calbaja_0.2ml_2",20.5086540800475,10.4262363042714,1734020120,-10.275957,"2024-12-12",56.4634785102239
"Calbaja_0.2ml","Calbaja_0.2ml_3",18.1277721375182,8.42704636740516,1734020143,-12.5324111,"2024-12-12",49.9085443895995
"Calbaja_0.2ml","Calbaja_0.2ml_4",17.1544779977597,10.0033267694033,1734020205,-13.19402492,"2024-12-12",47.228915949338
"Calbaja_0.2ml","Calbaja_0.2ml_5",15.7308966119972,8.62075449456533,1734020255,-14.3520388,"2024-12-12",43.3095774755004
"Calbaja_0.4ml","Calbaja_0.4ml_1",31.0049043233041,17.7866938351257,1734020431,0.321675649999999,"2024-12-12",87.4254912511471
"Calbaja_0.4ml","Calbaja_0.4ml_2",28.6277357664934,15.7267290647867,1734020505,-1.9211449,"2024-12-12",80.7225152735774
"Calbaja_0.4ml","Calbaja_0.4ml_3",29.0626652532026,15.0067658955536,1734020538,-1.4089012,"2024-12-12",81.9488994494055
"Calbaja_0.4ml","Calbaja_0.4ml_4",29.3064115100676,17.099856936659,1734020569,-1.08459807,"2024-12-12",82.6361983368603
"Calbaja_0.4ml","Calbaja_0.4ml_5",28.705655101463,17.1157010990144,1734020609,-1.56953526,"2024-12-12",80.9422268413553
"Calbaja_0.6ml","Calbaja_0.6ml_1",43.7295605688676,25.8499195703681,1734020775,13.97844606,"2024-12-12",125.109715862216
"Calbaja_0.6ml","Calbaja_0.6ml_2",42.8146641587258,25.2037945434202,1734020809,13.1136447,"2024-12-12",122.49220888462
"Calbaja_0.6ml","Calbaja_0.6ml_3",42.9198900473029,20.8983556524131,1734020843,13.24704801,"2024-12-12",122.793258811717
"Calbaja_0.6ml","Calbaja_0.6ml_4",42.146985013318,24.6584883186054,1734020878,12.49961641,"2024-12-12",120.581987352951
"Calbaja_0.6ml","Calbaja_0.6ml_5",41.5730828551625,17.3174515363256,1734020907,11.96061171,"2024-12-12",118.940060587497
"Calbaja_0.8ml","Calbaja_0.8ml_1",60.4645896518201,32.5585783052775,1734021004,27.878278294,"2024-12-12",142.282997784909
"Calbaja_0.8ml","Calbaja_0.8ml_2",60.0990902697407,30.9125007874656,1734021038,27.83697527,"2024-12-12",141.422918388517
"Calbaja_0.8ml","Calbaja_0.8ml_3",57.8994745486141,25.0036131373522,1734021073,25.99572549,"2024-12-12",136.246865419682
"Calbaja_0.8ml","Calbaja_0.8ml_4",59.2369923643188,28.9002210780405,1734021115,27.745612208,"2024-12-12",139.39426202826
"Calbaja_0.8ml","Calbaja_0.8ml_5",59.379048781484,27.6037771139046,1734021147,28.172121272,"2024-12-12",139.728543845192
